Model,ROC-AUC,PR-AUC,False Negatives,Threshold
Borrower Baseline,0.6823790029188261,0.271752129932394,3317,0.18185021886986444
Borrower + Interactions,0.6821778452407276,0.27055415449339393,2931,0.16890448036820946
