Cluster,Count,Share,fico_range_low_Mean,fico_range_low_Median,dti_Mean,dti_Median,annual_inc_Mean,annual_inc_Median,revol_util_Mean,revol_util_Median,loan_amnt_Mean,loan_amnt_Median,cr_hist_years_Mean,cr_hist_years_Median,delinq_2yrs_Mean,delinq_2yrs_Median,tot_hi_cred_lim_Mean,tot_hi_cred_lim_Median
Cluster 0,596,0.18044202240387527,717.5671140939597,710.0,20.916996644295303,18.61,106915.82790268457,86000.0,33.814597315436245,30.8,19966.442953020134,17537.5,18.15720132850075,16.418891170431213,0.18791946308724833,0.0,280719.97147651005,231229.5
Cluster 1,1198,0.36270057523463517,695.7804674457429,690.0,19.8781469115192,18.595,88359.01472454089,78000.0,54.18706176961603,55.45,14878.631051752922,12000.0,18.39266447958553,16.709103353867214,0.3664440734557596,0.0,261001.62520868113,231878.0
Cluster 2,1509,0.45685740236148953,717.9953611663353,710.0,13.029502982107354,11.54,59447.3053081511,50000.0,33.60311464546057,29.5,12771.239231278993,10000.0,13.57779673771199,12.167008898015059,0.1312127236580517,0.0,66285.027833002,46391.0
