Segment,General Model AUC,Segment Model AUC,AUC Delta,General Model PR-AUC,Segment Model PR-AUC,PR-AUC Delta,General Model FNs,Segment Model FNs,FN Change
Older Borrowers,0.6796398159749671,0.6828612635894605,0.003221447614493389,0.2475749987384694,0.2538388118724393,0.006263813133969898,1340,1467,127
Low Util Borrowers,0.6935397093564819,0.6950189009344991,0.001479191578017236,0.26772614179177795,0.26786796882323327,0.0001418270314553216,2319,2119,-200
High Income Borrowers,0.6927878064390844,0.6893467486667321,-0.003441057772352374,0.24952683424620392,0.25001418619895205,0.00048735195274812737,1802,1750,-52
