Year,AUC
2007,0.757713052858684
2008,0.653447453087237
2009,0.6523573107755544
2010,0.7141559820229899
2011,0.712421149320472
2012,0.7035177553374646
2013,0.7117678746074095
2014,0.733590112204166
2015,0.7535675217914994
2016,0.7235222773019693
2017,0.7141971415873418
2018,0.7068218470896175
