Date,Close,High,Low,Open,Volume
2005-01-03,81.38372802734375,82.37142682532111,81.11312441498436,82.23612243847411,55748000
2005-01-04,80.38925170898438,81.54607696107219,80.12541464243806,81.49195521374631,69167600
2005-01-05,79.83453369140625,80.67340030813676,79.8277671812171,80.32838054717975,65667300
2005-01-06,80.24044799804688,80.60576218031059,80.00367172102477,80.12544311511267,47814700
2005-01-07,80.12542724609375,80.65986797200262,79.91570673255057,80.48397484619262,55847700
2005-01-10,80.5042724609375,80.81546482756076,80.05777569925961,80.05777569925961,56563300
2005-01-11,79.9495620727539,80.32840417341195,79.82102414802928,80.26075453562824,63099700
2005-01-12,80.21337127685547,80.39602575125483,79.50303742470687,80.09836641662865,72720500
2005-01-13,79.57067108154297,80.32159347062753,79.48948846928157,80.26070522109815,55537500
2005-01-14,79.99014282226562,80.18633036515062,79.66542252884881,79.80748830238566,42032500
2005-01-18,80.82222747802734,80.9237044791386,79.79393477005738,79.86158954502135,57391700
2005-01-19,79.97657012939453,80.85602516230755,79.96980362168502,80.79514207692115,54378900
2005-01-20,79.48948669433594,79.96303901861997,79.34742099705073,79.7533237266275,72049300
2005-01-21,79.00240325927734,79.82774175407347,78.91445930017066,79.68567605336267,63160400
2005-01-24,78.84683227539062,79.38126785239132,78.72506090258842,79.21214123246241,58441900
2005-01-25,79.0700912475586,79.46923283402278,78.9618528731293,79.09039078151646,68245000
2005-01-26,79.30686950683594,79.55717364090317,79.17833160361072,79.36775262225694,57195100
2005-01-27,79.4421615600586,79.65864344193997,79.13773568787188,79.27980143898137,55878800
2005-01-28,79.4421615600586,79.5233442012648,78.88742641515412,79.48275029999411,60738900
2005-01-31,79.93598937988281,79.99687247134264,79.63155843858281,79.79391851047596,52532700
2005-02-01,80.44338989257812,80.5583947581431,79.89541612127535,79.99689312791179,49841200
2005-02-02,80.68694305419922,80.90342496817892,80.43663890570342,80.5448772820253,52468900
2005-02-03,80.47721862792969,80.61252303483059,80.21338148614214,80.54486825071245,48837100
2005-02-04,81.33638000488281,81.47167924240966,80.49074686700234,80.504274726221,50024600
2005-02-07,81.22811126708984,81.53253703767842,81.15369516115335,81.34988260759197,45412000
2005-02-08,81.32284545898438,81.62050996956233,81.22813496222501,81.29578457971957,39263500
2005-02-09,80.71400451660156,81.5122825478686,80.6734157703572,81.46492729013818,55279400
2005-02-10,81.0048828125,81.19430379721048,80.68016259909196,80.95076621782181,45858600
2005-02-11,81.7016830444336,81.88434267929674,80.81546123192886,80.97782133743578,53133000
2005-02-14,81.64080047607422,81.76257184633711,81.50550124748644,81.64756698590402,32432100
2005-02-15,81.94522857666016,82.148182586463,81.64080272329075,81.72198535947886,43852700
2005-02-16,81.9993667602539,82.16849341519082,81.63405256622987,81.80994573253831,55523000
2005-02-17,81.33638000488281,82.08053613395062,81.32961349460595,82.01288651518719,58124000
2005-02-18,81.444580078125,81.505468319325,81.113093489071,81.34310311701343,47723300
2005-02-22,80.23365020751953,81.49871891061149,80.22012235182176,81.11311050655321,80697600
2005-02-23,80.80868530273438,80.88986792669219,80.24718892802863,80.4569042549187,68292600
2005-02-24,81.3431625366211,81.39728431025986,80.49076782782438,80.66665585014574,68563600
2005-02-25,82.14815521240234,82.3105152693408,81.30252238890372,81.36340547475572,60899900
2005-02-28,81.60699462890625,82.0602580031198,81.20785818628356,81.95878097422614,69381300
2005-03-01,82.01287841796875,82.20906074461287,81.70844742158754,81.73550829868817,47294400
2005-03-02,81.97225952148438,82.48640570692133,81.62047854913256,81.69489464812999,64226500
2005-03-03,82.006103515625,82.46612805658646,81.6543173106541,82.3037679719336,61230800
2005-03-04,83.02764129638672,83.09529091108904,82.39172356324835,82.56761669054221,56168500
2005-03-07,83.0682373046875,83.37942968862764,82.80440017131794,82.98029331400939,43442400
2005-03-08,82.7570571899414,83.21031539279126,82.60822490570152,82.98706696643143,44362000
2005-03-09,81.83697509765625,82.72996328534056,81.83020858889081,82.51348145685145,73263600
2005-03-10,82.01960754394531,82.19550059533066,81.45134483208388,81.99254667747584,65149000
2005-03-11,81.444580078125,82.34433455260422,81.28898654424222,82.06696453632144,57976500
2005-03-14,81.95197296142578,81.96550597780428,81.37017712915369,81.59342544739766,36336400
2005-03-15,81.27549743652344,82.1684858863148,81.2349086946851,82.14142500464409,62438500
2005-03-16,80.58546447753906,81.28903192970857,80.43663220632342,80.97783436552922,74874200
2005-03-17,80.74783325195312,81.00490391799109,80.49076258591516,80.71400585529778,62584200
2005-03-18,80.50804901123047,81.18041948467231,80.24317563740165,80.89517203310386,60232000
2005-03-21,80.20922088623047,80.6710523458854,79.97830774720656,80.62351110069771,61244300
2005-03-22,79.39421844482422,80.77291959471722,79.39421844482422,80.39258967243131,92472400
2005-03-23,79.46217346191406,79.95117228150637,79.29238249297835,79.42821319548325,70817300
2005-03-24,79.55725860595703,80.13454688299878,79.50292425052481,79.7745908460766,51932500
2005-03-28,79.67271423339844,80.10059080008999,79.67271423339844,79.74742267578556,46765500
2005-03-29,79.14297485351562,80.07343133732066,78.95280977515776,79.55726528062803,71160300
2005-03-30,80.2635498046875,80.27713079599349,79.30592669700206,79.31271978345845,62002100
2005-03-31,80.11416625976562,80.45374818110149,80.05304400109743,80.27037622348804,64575400
2005-04-01,79.75418090820312,80.81367445483609,79.40101811986113,80.56917514690433,95255300
2005-04-04,79.89005279541016,80.04626278229777,79.28559730032316,79.70668081060352,71581200
2005-04-05,80.2703628540039,80.39940043912553,79.91719481293575,79.99190323771523,46853900
2005-04-06,80.5488052368164,80.78651147027234,80.26355775666929,80.44692965630465,53268200
2005-04-07,80.98345947265625,80.99704564522538,80.35863025624833,80.41975766959618,46734600
2005-04-08,80.14131927490234,80.96310675753847,80.14131927490234,80.93593958683877,63772900
2005-04-11,80.20245361328125,80.42657891913468,80.0258747495259,80.33828948725701,44945000
2005-04-12,80.61674499511719,80.86124438980086,79.5097098114614,80.06662394788336,86144800
2005-04-13,79.66592407226562,80.68466987788739,79.55046227627223,80.52166681822935,65949000
2005-04-14,78.62677764892578,79.80173310562235,78.62677764892578,79.73381777334336,96119800
2005-04-15,77.52653503417969,78.9188174678836,77.4925747775691,78.60640279717529,128677300
2005-04-18,77.76422119140625,78.07663578138683,77.39747227753175,77.5061409253196,100035200
2005-04-19,78.38230895996094,78.46380531253548,77.98839265048595,78.1717646253881,64930100
2005-04-20,77.288818359375,78.53168378694879,77.11902746243578,78.36189289000957,107735900
2005-04-21,78.78976440429688,78.92559504082317,77.68272450834172,77.96118404930924,86952200
2005-04-22,78.49095153808594,79.12257400997927,77.60803662241292,78.6064081278193,88845800
2005-04-25,79.00711822509766,79.12257481600719,78.59282793385,78.68791044184704,52284100
2005-04-26,78.23966217041016,79.30594905395827,78.2057070917696,78.75582807286393,72626000
2005-04-27,78.5452880859375,78.83053561503496,77.7235005769044,78.00874810600187,84131900
2005-04-28,77.56048583984375,78.56565030986029,77.56048583984375,78.2871907294828,72481500
2005-04-29,78.6131591796875,78.69466064853461,77.40424922395087,78.15132788609769,103993800
2005-05-02,79.05462646484375,79.06141955018039,78.45695931376116,78.83050128318779,56026400
2005-05-03,79.19046020507812,79.36025107394904,78.57242413682313,78.83050439212874,86000300
2005-05-04,79.80172729492188,79.97151820406002,78.97314682927063,79.2244392401737,81055700
2005-05-05,79.7745590209961,80.14130800143961,79.28556038040472,79.9171827609007,96906700
2005-05-06,79.52324676513672,80.1344949133127,79.50287269046518,80.09374676396962,67415400
2005-05-09,80.01903533935547,80.19561928249944,79.49608177669795,79.60474523136716,43750500
2005-05-10,79.19046020507812,79.80170836933468,79.04783649701928,79.70662589729545,74613500
2005-05-11,79.6251449584961,79.73381362978141,78.68110789853654,79.4146058848901,91647400
2005-05-12,78.74905395507812,79.86288236233,78.74905395507812,79.67951038499379,95086800
2005-05-13,78.59281921386719,79.20406754146356,77.96798989303866,78.98673537849679,85267000
2005-05-16,79.32630157470703,79.3534635558187,78.55205557286267,78.57921755397433,49207000
2005-05-17,79.8560791015625,79.93757543955113,78.89166777023506,79.06145871652265,61071800
2005-05-18,80.67784881591797,80.87480689184248,80.14810200972455,80.20243116249792,77944900
2005-05-19,81.01747131347656,81.09897285597074,80.61676187322588,80.83409413826712,61768100
2005-05-20,80.90198516845703,81.08535709516326,80.64389963551223,81.05139683611009,46345500
2005-05-23,81.3502197265625,81.52680372328383,80.94951566733383,80.96309666018593,51047900
2005-05-24,81.16004943847656,81.3841746679593,80.95629828774554,81.11930128097316,50654100
2005-05-25,81.09889221191406,81.41130670839786,80.70497625398043,81.05813889038676,47608800
2005-05-26,81.53357696533203,81.64224042652228,81.2415364648245,81.35699301159104,43256200
2005-05-27,81.66943359375,81.66943359375,81.3638120063749,81.54039083473896,24596100
2005-05-31,81.1465072631836,81.61512684345932,81.09217290611673,81.5540045779662,43377200
2005-06-01,81.83924102783203,82.12448859114792,81.12611693793356,81.17365819848621,69611000
2005-06-02,82.01581573486328,82.0701448967311,81.56756517359854,81.65585977714909,39704500
2005-06-03,81.60150909423828,82.10408871673708,81.31626162051792,81.87317557561312,60999400
2005-06-06,81.52679443359375,81.63545790885074,81.19400573976034,81.4656670187062,36046400
2005-06-07,81.58796691894531,82.34863244068421,81.50647055770861,81.76455100430809,66501300
2005-06-08,81.43853759765625,81.90036402915891,81.27553454718715,81.791700510455,46881200
2005-06-09,81.8256607055664,81.89357605240006,81.1193296989569,81.32307573945789,56653300
2005-06-10,81.63544464111328,81.94107130266576,81.22794760731588,81.8799438977129,36465300
2005-06-13,81.89356994628906,82.23315183674644,81.37061093328397,81.45890554103228,49383200
2005-06-14,82.08375549316406,82.31466874922106,81.75775451693157,81.80529578621446,33857100
2005-06-15,82.23994445800781,82.34182006730649,81.65586834002009,82.28749089974143,53195600
2005-06-16,82.45046997070312,82.6134677994597,82.12446913158244,82.21955163015774,46564500
2005-06-17,82.75595092773438,83.12418007277033,82.66048469041245,82.8786939760797,51529400
2005-06-20,82.78324890136719,83.08328349428531,82.46957329819034,82.56503955991717,41019400
2005-06-21,82.83101654052734,82.95375967138668,82.53097662008828,82.85147286191669,39879800
2005-06-22,82.89917755126953,83.15148423433574,82.55822510510941,82.97418750562647,46310100
2005-06-23,81.73312377929688,82.9196368783374,81.71266746418746,82.72870433395406,62185600
