Period,N,Baseline_AUC,CRIS_AUC,Baseline_Brier,CRIS_Brier,Baseline_ECE,CRIS_ECE,Baseline_Approval_Rate,CRIS_Approval_Rate,CRIS_Review_Rate,CRIS_Throttling_Rate,Baseline_FN,CRIS_FN,Baseline_PR_AUC,CRIS_PR_AUC
Full Dataset,1345350,0.7301163304442233,0.7292579909398721,0.14198014541681742,0.1419305597540894,0.01476062842716503,0.009947544990050298,0.6361586204333445,0.512351432712677,0.22777344185527928,0.00153120005946408,99687,70549,0.4039278407375148,0.4033727426402712
2008 Crisis,1562,0.653447453087237,0.652015824879543,0.12965006281410818,0.12806717173571047,0.03608902163673917,0.011531614465112682,0.9346991037131882,0.28233034571062743,0.31562099871959026,0.2535211267605634,220,42,0.2503271047501001,0.24778592540111594
2018 Transition,56318,0.7068218470896175,0.704647477161882,0.12442046708429193,0.12516001411418032,0.020747317338807622,0.02520024260157738,0.6559892041620796,0.5337902624382969,0.21348414361305443,0.0,3598,2686,0.29708604207079714,0.2941868952708137
Normal Regime (2014),223103,0.733590112204166,0.7336343765312987,0.13373883168106082,0.13378512737553627,0.007890260835578802,0.011056160976378552,0.6125511535030905,0.437501960977665,0.3421155251162019,0.0,13750,7589,0.38580087052289064,0.3858591809243154
