year,n,validation_status,default_rate,macro_stress_score,environmental_confidence,baseline_auc,macro_auc,baseline_brier,macro_brier
2007,251,in_sample_diagnostic,0.17928286852589642,0.2999980079681275,0.7767576693227091,0.757713052858684,0.7625674217907228,0.13997742173905275,0.13474788217623468
2008,1562,in_sample_diagnostic,0.15813060179257363,0.4369526248399488,0.6384382202304738,0.653447453087237,0.652015824879543,0.12965006281410818,0.12806717173571044
2009,4716,in_sample_diagnostic,0.12595419847328243,0.4037662213740458,0.5583311015691264,0.6523573107755544,0.6515302630052751,0.10628297126514784,0.10818059140749452
2010,11536,in_sample_diagnostic,0.1289008321775312,0.2605550450762829,0.629305734223301,0.7141559820229899,0.7132368141232373,0.10476241390394694,0.10632738470668596
2011,21721,in_sample_diagnostic,0.15178859168546568,0.20370459463192309,0.7277570035909948,0.712421149320472,0.7111178256368275,0.11904513469731931,0.11963664735850285
2012,53367,in_sample_diagnostic,0.1619727546985965,0.11854614274739068,0.7422159817864972,0.7035177553374646,0.70425827436123,0.12536283178310856,0.1252805944768457
2013,134804,in_sample_diagnostic,0.15595976380522833,0.09521529776564491,0.7733619918548412,0.7117678746074095,0.7116457815965976,0.12196563031864564,0.12210488438555311
2014,223103,in_sample_diagnostic,0.1844977431948472,0.10537306759658094,0.7578275678722384,0.733590112204166,0.7336343765312987,0.13373883168106088,0.13378512737553624
2015,375546,in_sample_diagnostic,0.20185010624530683,0.10469359412695117,0.7839295248118738,0.7535675217914994,0.7533121714583254,0.138579929757907,0.13848410331096647
2016,293105,validation,0.23285853192541922,0.12056513194930145,0.7720899266474472,0.7235222773019693,0.7217501121094896,0.1605835160081858,0.16012924046404722
2017,169321,validation,0.23132984095298278,0.05308018497410243,0.86418262058457,0.7141971415873418,0.7141971415873418,0.16177841243567723,0.16177841243567723
2018,56318,out_of_time,0.15756951596292482,0.10261889626762313,0.8289753036329416,0.7068218470896175,0.704647477161882,0.12442046708429191,0.1251600141141803
