Metric,Value
Average FICO,701.042
Average Annual Income,79301.37525900002
Average DTI,18.181179999999998
Average Revolving Utilization,42.8625
Average Credit History Length,15.766565366187542
Average Loan Amount,13613.91
Average Delinquencies,0.2744
Average Public Records,0.1631
Average Open Credit Lines,11.2962
