Metric,Value
Average FICO,760.737
Average Annual Income,106065.274422
Average DTI,12.387217999999999
Average Revolving Utilization,22.041299999999996
Average Credit History Length,18.024279808350443
Average Loan Amount,13697.295
Average Delinquencies,0.0608
Average Public Records,0.0576
Average Open Credit Lines,10.8192
