regime,num_months,total_loans,total_defaults,stealth_defaults,macro_stress_mean,unemployment_mean,realized_default_rate,stealth_default_rate
Low,35,513136,108088,42303,0.06855714285714284,5.488571428571428,0.21064201303358174,0.3913755458515284
Medium,69,812522,157731,59157,0.1419855072463768,6.41159420289855,0.19412520522521237,0.3750499267740647
High,35,19692,2780,1774,0.39154285714285714,8.054285714285713,0.1411740808450132,0.6381294964028777
