month,total_loans,total_defaults,stealth_defaults,captured_defaults,realized_default_rate,stealth_default_rate,macro_stress_score,uncertainty_pressure,liquidity_disruption,unemployment_rate,fed_funds_rate,cpi_inflation,treasury_spread,recession_indicator,spy_monthly_return,spy_monthly_vol,vix_monthly_mean,regime
2015-12-01,39003,8137,2797,5340,0.20862497756582826,0.3437384785547499,0.103,0.3,0.0,5.0,0.24,0.6387247515364791,1.26,0.0,-0.017282836972550397,0.18198232015571875,18.02545473792336,Medium
2016-01-01,28397,5462,2068,3394,0.1923442617177871,0.37861589161479314,0.121,0.3,0.0,4.8,0.34,1.2375025026943876,1.1857894736842105,0.0,-0.04978629619656216,0.2401266227250918,23.717894805105107,Medium
2016-02-01,34599,6734,2609,4125,0.19462990259834098,0.3874368874368874,0.2145,0.29,0.0,4.9,0.38,0.8472775790126619,1.046,0.0,-0.0008260387082623666,0.18834907015471675,22.516999816894533,Medium
2016-03-01,48938,10595,3979,6616,0.21649842658057133,0.3755545068428504,0.1305,0.29,0.0,5.0,0.36,0.8916160965521946,1.014090909090909,0.0,0.06726579734053795,0.11269015888586148,15.849090966311367,Medium
2016-04-01,24105,6174,2467,3707,0.25612943372744246,0.3995788791707159,0.1375,0.31,0.0,5.1,0.37,1.1726257503534843,1.0371428571428571,0.0,0.003941769888411661,0.10232882337615204,14.300476255871,Medium
2016-05-01,18110,4741,1996,2745,0.26178906681391495,0.42100822611263444,0.1005,0.29,0.0,4.8,0.37,1.0784764621246223,0.99,0.0,0.017011384474959534,0.11012140859085012,14.852857044764928,Medium
2016-06-01,20734,5040,2264,2776,0.24307900067521945,0.4492063492063492,0.096,0.28,0.0,4.9,0.38,1.0792865347959424,0.9127272727272728,0.0,0.003475892187172036,0.18569150031128367,17.774545496160332,Medium
2016-07-01,21724,5781,2335,3446,0.26611121340452953,0.4039093582425186,0.124,0.27,0.0,4.8,0.39,0.8683633430518256,0.8314999999999999,0.0,0.03647122241716527,0.07463750873244401,13.158500051498413,Medium
2016-08-01,22258,5822,2432,3390,0.2615688741126786,0.41772586739951906,0.0855,0.27,0.0,4.9,0.4,1.0553158595656864,0.8191304347826087,0.0,0.0011974331102644342,0.05481118954192687,12.399565240611201,Low
2016-09-01,16909,4203,1677,2526,0.24856585250458335,0.39900071377587437,0.086,0.28,0.0,5.0,0.4,1.5486446201652182,0.8595238095238096,0.0,5.794658032098887e-05,0.14193340767184168,14.219523793175107,Low
2016-10-01,18957,4256,1857,2399,0.22450809727277524,0.4363251879699248,0.09,0.28,0.0,4.9,0.4,1.685924966243646,0.9215,0.0,-0.017336940990704153,0.06734699367076516,14.58523804800851,Low
2016-11-01,18998,4612,1945,2667,0.2427623960416886,0.4217259323503903,0.088,0.28,0.0,4.7,0.41,1.6843334719788938,1.1625,0.0,0.03683830144888711,0.10534136425521548,15.236190387180873,Low
2016-12-01,19376,4832,1936,2896,0.24938067712634188,0.40066225165562913,0.0795,0.27,0.0,4.7,0.54,2.0507989115119862,1.2952380952380953,0.0,0.02027203132604183,0.08007963634592954,12.472380956013998,Low
2017-01-01,16395,3720,1517,2203,0.22689844464775846,0.40779569892473116,0.068,0.24,0.0,4.7,0.65,2.5103933482571117,1.226,0.0,0.017894524865845085,0.06626822926384114,11.608500003814697,Low
2017-02-01,13468,3127,1287,1840,0.23217998217998218,0.4115765909817717,0.057,0.22,0.0,4.6,0.66,2.8103616813294208,1.2178947368421054,0.0,0.03929162615611892,0.04571187929201788,11.530526361967388,Low
2017-03-01,17011,3904,1618,2286,0.22949855975545236,0.4144467213114754,0.054,0.2,0.0,4.4,0.79,2.44119623655914,1.168695652173913,0.0,0.0012496946951248145,0.08368790141155441,11.897826111834982,Low
2017-04-01,13104,3119,1237,1882,0.2380189255189255,0.3966014748316768,0.0515,0.19,0.0,4.4,0.9,2.176223471915395,1.0563157894736843,0.0,0.00992648312965172,0.07547214369355387,13.136315847698011,Low
