Model,ROC-AUC,PR-AUC,Recall,F1_Score,ROC_AUC_CI_Lower,ROC_AUC_CI_Upper,P_Value
Model A (Borrower-Only),0.5913471314066605,0.08686463747396707,0.45891661594504285,0.14440986088677238,0.5855485574702392,0.6019766579208735,
Model B (Borrower + Macro),0.5888296138080207,0.08558130461165414,0.41448569689466075,0.14581660220760084,0.581326388652012,0.5961660415474412,
Difference (B - A),-0.002517517598639829,-0.0012833328623129275,-0.0444309190503821,0.001406741320828464,-0.008590451047242426,0.0018081064471816592,0.88
