month,total_loans,total_defaults,stealth_defaults,captured_defaults,realized_default_rate,stealth_default_rate,macro_stress_score,uncertainty_pressure,liquidity_disruption,unemployment_rate,fed_funds_rate,cpi_inflation,treasury_spread,recession_indicator,spy_monthly_return,spy_monthly_vol,vix_monthly_mean
2010-06-01,1029,166,90,76,0.16132167152575316,0.5421686746987951,0.4985,0.49,0.06,9.4,0.18,1.1215605940686268,2.4795454545454545,0.0,-0.05174037521001151,0.2552218206443861,29.91636371612549
2010-07-01,1119,137,77,60,0.1224307417336908,0.5620437956204379,0.2575,0.46,0.02,9.4,0.18,1.3407784804821077,2.394761904761905,0.0,0.06830044397428048,0.19701570163106247,25.565237862723215
2010-08-01,1078,148,73,75,0.137291280148423,0.49324324324324326,0.277,0.46,0.0,9.5,0.19,1.1501775395112546,2.178181818181818,0.0,-0.04498039966894385,0.17569477136691372,24.745908997275613
2010-09-01,1087,175,91,84,0.1609935602575897,0.52,0.229,0.43,0.0,9.5,0.19,1.1183122472331775,2.1676190476190476,0.0,0.08955456790313021,0.15683779111350546,22.51761899675642
2010-10-01,1133,161,86,75,0.14210061782877317,0.5341614906832298,0.2074999999999999,0.41,0.0,9.4,0.19,1.1666951489314625,2.164,0.0,0.038202106455897056,0.10356403550005204,20.3733332497733
2010-11-01,1121,142,81,61,0.12667261373773417,0.5704225352112676,0.1845,0.38,0.0,9.8,0.19,1.084544776600338,2.309,0.0,2.220446049250313e-16,0.14908425926620128,20.095714387439546
2010-12-01,1269,143,85,58,0.11268715524034673,0.5944055944055944,0.1615,0.35,0.0,9.3,0.18,1.437793022217937,2.6727272727272724,0.0,0.0668521991856359,0.08588802290639574,17.569545529105447
2011-01-01,1380,186,108,78,0.13478260869565217,0.5806451612903226,0.147,0.33,0.0,9.1,0.17,1.7007834915029774,2.7794999999999996,0.0,0.02330043148976646,0.10211782217526039,17.31549987792969
2011-02-01,1298,169,87,82,0.13020030816640987,0.514792899408284,0.1305,0.31,0.0,9.0,0.16,2.124898173333145,2.803684210526316,0.0,0.034737025266703636,0.11670749116280953,17.4299999036287
2011-03-01,1448,210,98,112,0.14502762430939226,0.4666666666666667,0.1265,0.3,0.0,9.0,0.14,2.619241510354109,2.7169565217391307,0.0,0.00012009420071956711,0.16324865072758543,20.72347815140434
